Schema,Issue Type,Summary,Priority,Funded?,Target Qtr,Status,Assignee,Spec URL,Labels
Growth > Account Identity,Team Objective (Group KR),Reliability of Identity Systems reach and maintain 4 9’s,,,2021 Q4,On Track,,,
Growth > Account Identity,Team Objective (Group KR),Build a widely-adopted authorization platform that is highly confident about 25% of 13+ users’ ages.,,,2022 Q4,Research,,,
Growth > Account Identity,Team Objective (Group KR),Drive up adoption of GUAC by 50%,,,2022 Q3,On Track,,,
Growth > Account Identity,Team KR (Deliverable),Automating Production Test Cases for Korea,P1 - Deliverable,,2022 Q1,Complete,pyu@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),AccountCountryCode Investigation,P1 - Deliverable,,2022 Q1,Complete,lkong@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Handoff of ID Verification,P0 - Key Deliverable,,2022 Q1,Complete,djoss@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Enable OriginType at GUAC (back-end),P1 - Deliverable,,2022 Q1,Complete,jduan@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Migrator for Clickthrough Agreement Data,P1 - Deliverable,,2022 Q1,Complete,djoss@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Korea: Monthly Notification for Playtime and Spending MVP,P1 - Deliverable,,2022 Q1,Complete,erothberg@roblox.com,https://confluence.rbx.com/display/PRIVACY/Monthly+Email+for+Korean+Parents,
Growth > Account Identity,Team KR (Deliverable),Build User Context Service - Part 1,P0 - Key Deliverable,,2022 Q1,Complete,jduan@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Support Identity Attributes on GUAC/CoCo Admin Tools,P1 - Deliverable,,2022 Q1,Complete,jhou@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Research methods for Age Profiling,P1 - Deliverable,,2022 Q1,Complete,cmarino@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Ban by ID Hash,P1 - Deliverable,,2022 Q1,Deferred,djoss@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Enable User Agreements for Global Users,P0 - Key Deliverable,,2022 Q1,Blocked,djoss@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),Dynamo to EaaS Migration for IAS,P1 - Deliverable,,2022 Q1,Blocked,lkong@roblox.com,,
Growth > Account Identity,Team KR (Deliverable),User Key Migration Phase 4 (IAS+Bedev1 services),P1 - Deliverable,,2022 Q1,Blocked,lkong@roblox.com,https://confluence.rbx.com/pages/viewpage.action?spaceKey=PRIVACY&title=%5BTech+Spec%5D+Database+GDPR+Migration,
Growth > Account Identity,Team KR (Deliverable),Multi-Region Active/Passive,P0 - Key Deliverable,,2022 Q2,Not Started,,https://docs.google.com/spreadsheets/d/1cpmNyebHmQwkTZf7vYsZzZYJGIRD4zKmR3s3ZBqLzLo/edit#gid=0,
Growth > Account Identity,Team KR (Deliverable),Parental Controls for Experience Guidelines,P1 - Deliverable,,2022 Q2,Not Started,,https://confluence.rbx.com/pages/resumedraft.action?draftId=292819319&draftShareId=f68c0073-9ca7-4fa1-8852-44d80d235af8&,
Growth > Account Identity,Team KR (Deliverable),Screentime Report backfill of existing Korean Users,P1 - Deliverable,,2022 Q2,Not Started,erothberg@roblox.com,https://jira.rbx.com/browse/WEBAPP-3011,
